"","x","y","z"
"1",100,"A",1
"2",40,"A",1
"3",100,"A",1
"4",100,"A",1
"5",80,"A",1
"6",100,"A",1
"7",50,"A",1
"8",100,"A",2
"9",100,"A",2
"10",100,"A",2
"11",100,"A",2
"12",90,"A",2
"13",100,"A",2
"14",100,"A",2
"15",0,"B",1
"16",10,"B",1
"17",100,"B",1
"18",0,"B",1
"19",50,"B",1
"20",60,"B",1
"21",20,"B",1
"22",60,"B",2
"23",100,"B",2
"24",100,"B",2
"25",100,"B",2
"26",90,"B",2
"27",100,"B",2
"28",100,"B",2
"29",50,"C",1
"30",20,"C",1
"31",90,"C",1
"32",30,"C",1
"33",70,"C",1
"34",100,"C",1
"35",0,"C",1
"36",100,"C",2
"37",100,"C",2
"38",100,"C",2
"39",100,"C",2
"40",100,"C",2
"41",100,"C",2
"42",100,"C",2
"43",0,"D",1
"44",0,"D",1
"45",0,"D",1
"46",0,"D",1
"47",0,"D",1
"48",0,"D",1
"49",0,"D",1
"50",80,"D",2
"51",100,"D",2
"52",100,"D",2
"53",100,"D",2
"54",100,"D",2
"55",100,"D",2
"56",90,"D",2
"57",50,"E",1
"58",100,"E",1
"59",20,"E",1
"60",100,"E",1
"61",90,"E",1
"62",100,"E",1
"63",100,"E",1
"64",30,"E",2
"65",50,"E",2
"66",0,"E",2
"67",0,"E",2
"68",40,"E",2
"69",0,"E",2
"70",0,"E",2
